Status: active

     To                         Action      From
     --                         ------      ----
[ 1] OpenSSH                    ALLOW IN    Anywhere                  
[ 2] 22/tcp                     LIMIT IN    Anywhere                  
[ 3] 80                         ALLOW IN    173.245.48.0/20           
[ 4] 443                        ALLOW IN    173.245.48.0/20           
[ 5] 80                         ALLOW IN    103.21.244.0/22           
[ 6] 443                        ALLOW IN    103.21.244.0/22           
[ 7] 80                         ALLOW IN    103.22.200.0/22           
[ 8] 443                        ALLOW IN    103.22.200.0/22           
[ 9] 80                         ALLOW IN    103.31.4.0/22             
[10] 443                        ALLOW IN    103.31.4.0/22             
[11] 80                         ALLOW IN    141.101.64.0/18           
[12] 443                        ALLOW IN    141.101.64.0/18           
[13] 80                         ALLOW IN    108.162.192.0/18          
[14] 443                        ALLOW IN    108.162.192.0/18          
[15] 80                         ALLOW IN    190.93.240.0/20           
[16] 443                        ALLOW IN    190.93.240.0/20           
[17] 80                         ALLOW IN    188.114.96.0/20           
[18] 443                        ALLOW IN    188.114.96.0/20           
[19] 80                         ALLOW IN    197.234.240.0/22          
[20] 443                        ALLOW IN    197.234.240.0/22          
[21] 80                         ALLOW IN    198.41.128.0/17           
[22] 443                        ALLOW IN    198.41.128.0/17           
[23] 80                         ALLOW IN    162.158.0.0/15            
[24] 443                        ALLOW IN    162.158.0.0/15            
[25] 80                         ALLOW IN    104.16.0.0/13             
[26] 443                        ALLOW IN    104.16.0.0/13             
[27] 80                         ALLOW IN    104.24.0.0/14             
[28] 443                        ALLOW IN    104.24.0.0/14             
[29] 80                         ALLOW IN    172.64.0.0/13             
[30] 443                        ALLOW IN    172.64.0.0/13             
[31] 80                         ALLOW IN    131.0.72.0/22             
[32] 443                        ALLOW IN    131.0.72.0/22             
[33] OpenSSH (v6)               ALLOW IN    Anywhere (v6)             
[34] 22/tcp (v6)                LIMIT IN    Anywhere (v6)             
[35] 80                         ALLOW IN    2400:cb00::/32            
[36] 443                        ALLOW IN    2400:cb00::/32            
[37] 80                         ALLOW IN    2606:4700::/32            
[38] 443                        ALLOW IN    2606:4700::/32            
[39] 80                         ALLOW IN    2803:f800::/32            
[40] 443                        ALLOW IN    2803:f800::/32            
[41] 80                         ALLOW IN    2405:b500::/32            
[42] 443                        ALLOW IN    2405:b500::/32            
[43] 80                         ALLOW IN    2405:8100::/32            
[44] 443                        ALLOW IN    2405:8100::/32            
[45] 80                         ALLOW IN    2a06:98c0::/29            
[46] 443                        ALLOW IN    2a06:98c0::/29            
[47] 80                         ALLOW IN    2c0f:f248::/32            
[48] 443                        ALLOW IN    2c0f:f248::/32            

